17:20:19.982 Connecting to ESP32-2-10s ...
17:20:21.335 Connected
17:40:42.710 sensor_2_10s_5m -> 23.4 C | 3.21 V
17:40:52.711 sensor_2_10s_5m -> 23.4 C | 3.19 V
17:41:03.211 sensor_2_10s_5m -> 23.4 C | 3.20 V
17:41:13.211 sensor_2_10s_5m -> 23.4 C | 3.20 V
17:41:24.211 sensor_2_10s_5m -> 23.4 C | 3.14 V
17:41:33.711 sensor_2_10s_5m -> 23.4 C | 3.19 V
17:41:44.711 sensor_2_10s_5m -> 23.4 C | 3.18 V
17:41:54.211 sensor_2_10s_5m -> 23.4 C | 3.18 V
17:42:04.711 sensor_2_10s_5m -> 23.4 C | 3.11 V
17:42:15.214 sensor_2_10s_5m -> 23.4 C | 3.17 V
17:42:25.211 sensor_2_10s_5m -> 23.4 C | 3.15 V
17:42:35.211 sensor_2_10s_5m -> 23.4 C | 3.16 V
17:42:45.211 sensor_2_10s_5m -> 23.4 C | 3.15 V
17:42:55.711 sensor_2_10s_5m -> 23.4 C | 3.14 V
17:43:05.711 sensor_2_10s_5m -> 23.4 C | 3.09 V
17:43:16.211 sensor_2_10s_5m -> 23.4 C | 3.13 V
17:43:26.212 sensor_2_10s_5m -> 23.4 C | 3.13 V
17:43:36.715 sensor_2_10s_5m -> 23.4 C | 3.11 V
17:43:47.211 sensor_2_10s_5m -> 23.4 C | 3.12 V
17:43:57.212 sensor_2_10s_5m -> 23.4 C | 3.05 V
17:44:07.213 sensor_2_10s_5m -> 23.4 C | 3.10 V
17:44:17.211 sensor_2_10s_5m -> 23.4 C | 3.05 V
17:44:27.711 sensor_2_10s_5m -> 23.4 C | 3.09 V
17:44:37.712 sensor_2_10s_5m -> 23.4 C | 3.09 V
17:44:49.226 sensor_2_10s_5m -> 23.4 C | 3.08 V
17:44:58.211 sensor_2_10s_5m -> 23.4 C | 3.07 V
17:45:09.732 sensor_2_10s_5m -> 23.4 C | 3.01 V
17:45:18.711 sensor_2_10s_5m -> 23.4 C | 3.06 V
17:45:29.212 sensor_2_10s_5m -> 23.4 C | 2.99 V
17:45:39.211 sensor_2_10s_5m -> 23.3 C | 3.05 V
17:45:49.710 sensor_2_10s_5m -> 23.3 C | 3.03 V
17:46:00.232 sensor_2_10s_5m -> 23.3 C | 3.03 V
17:46:09.711 sensor_2_10s_5m -> 23.4 C | 3.02 V
17:46:20.213 sensor_2_10s_5m -> 23.3 C | 3.02 V
17:46:30.211 sensor_2_10s_5m -> 23.3 C | 3.01 V
17:46:40.719 sensor_2_10s_5m -> 23.3 C | 3.00 V
17:46:50.711 sensor_2_10s_5m -> 23.4 C | 2.99 V
17:47:01.210 sensor_2_10s_5m -> 23.3 C | 2.96 V
17:47:11.210 sensor_2_10s_5m -> 23.3 C | 2.98 V
17:47:21.711 sensor_2_10s_5m -> 23.3 C | 2.95 V
17:47:31.711 sensor_2_10s_5m -> 23.3 C | 2.90 V
17:47:41.712 sensor_2_10s_5m -> 23.3 C | 2.91 V
17:47:52.734 sensor_2_10s_5m -> 23.3 C | 2.93 V
17:48:02.211 sensor_2_10s_5m -> 23.3 C | 2.92 V
17:48:12.712 sensor_2_10s_5m -> 23.3 C | 2.91 V
17:48:22.710 sensor_2_10s_5m -> 23.3 C | 2.90 V
17:48:33.211 sensor_2_10s_5m -> 23.3 C | 2.88 V
17:48:43.214 sensor_2_10s_5m -> 23.3 C | 2.82 V
17:48:54.235 sensor_2_10s_5m -> 23.3 C | 2.84 V
17:49:03.711 sensor_2_10s_5m -> 23.3 C | 2.81 V
17:49:13.711 sensor_2_10s_5m -> 23.3 C | 2.83 V
17:49:24.211 sensor_2_10s_5m -> 23.3 C | 2.82 V
17:49:34.213 sensor_2_10s_5m -> 23.3 C | 2.79 V
17:49:44.711 sensor_2_10s_5m -> 23.3 C | 2.75 V
17:49:54.711 sensor_2_10s_5m -> 23.3 C | 2.75 V
17:50:05.711 sensor_2_10s_5m -> 23.3 C | 2.74 V
17:50:15.211 sensor_2_10s_5m -> 23.3 C | 2.71 V
17:50:25.711 sensor_2_10s_5m -> 23.3 C | 2.68 V
17:50:35.712 sensor_2_10s_5m -> 23.3 C | 2.67 V
17:50:46.712 sensor_2_10s_5m -> 23.3 C | 2.63 V
17:50:56.367 sensor_2_10s_5m -> 23.3 C | 2.58 V
17:51:06.065 sensor_2_10s_5m -> 23.3 C | 2.59 V
17:51:16.455 sensor_2_10s_5m -> 23.3 C | 2.57 V
17:51:26.456 sensor_2_10s_5m -> 23.3 C | 2.54 V
17:51:37.068 sensor_2_10s_5m -> 23.3 C | 2.51 V
17:51:47.060 sensor_2_10s_5m -> 23.3 C | 2.48 V
17:51:57.529 sensor_2_10s_5m -> 23.3 C | 2.42 V
17:52:12.531 Connection lost
17:52:42.515 Connecting to ESP32-2-10s ...
17:52:48.942 Connection failed: read failed, socket might closed or timeout, read ret: -1
