23:48:13,870 esp_1_5s_5m_CB -> 16,8 C | pin34= 1712 | Bat = 2,59 V
23:48:19,085 esp_1_5s_5m_CB -> 16,8 C | pin34= 1744 | Bat = 2,55 V
23:48:24,325 esp_1_5s_5m_CB -> 16,8 C | pin34= 1712 | Bat = 2,55 V
23:48:29,542 esp_1_5s_5m_CB -> 16,8 C | pin34= 1712 | Bat = 2,57 V
23:48:34,786 esp_1_5s_5m_CB -> 16,8 C | pin34= 1791 | Bat = 3,01 V
23:48:39,992 esp_1_5s_5m_CB -> 16,8 C | pin34= 1716 | Bat = 2,61 V
23:48:45,218 esp_1_5s_5m_CB -> 16,7 C | pin34= 1711 | Bat = 2,56 V
23:48:50,449 esp_1_5s_5m_CB -> 16,7 C | pin34= 1712 | Bat = 2,56 V
23:48:55,679 esp_1_5s_5m_CB -> 16,7 C | pin34= 1713 | Bat = 2,56 V
23:49:00,902 esp_1_5s_5m_CB -> 16,7 C | pin34= 1712 | Bat = 2,58 V
23:49:06,138 esp_1_5s_5m_CB -> 16,6 C | pin34= 1790 | Bat = 3,00 V
23:49:11,335 esp_1_5s_5m_CB -> 16,7 C | pin34= 1712 | Bat = 2,61 V
23:49:16,586 esp_1_5s_5m_CB -> 16,7 C | pin34= 1712 | Bat = 2,56 V
23:49:21,809 esp_1_5s_5m_CB -> 16,7 C | pin34= 1714 | Bat = 2,56 V
23:49:27,028 esp_1_5s_5m_CB -> 16,7 C | pin34= 1711 | Bat = 2,57 V
23:49:32,255 esp_1_5s_5m_CB -> 16,7 C | pin34= 1712 | Bat = 2,60 V
23:49:37,492 esp_1_5s_5m_CB -> 16,6 C | pin34= 1789 | Bat = 3,00 V
23:49:42,689 esp_1_5s_5m_CB -> 16,6 C | pin34= 1712 | Bat = 2,58 V
23:49:47,920 esp_1_5s_5m_CB -> 16,6 C | pin34= 1743 | Bat = 2,56 V
23:49:53,159 esp_1_5s_5m_CB -> 16,6 C | pin34= 1712 | Bat = 2,55 V
23:49:58,384 esp_1_5s_5m_CB -> 16,6 C | pin34= 1712 | Bat = 2,56 V
23:50:03,607 esp_1_5s_5m_CB -> 16,6 C | pin34= 1713 | Bat = 2,59 V
23:50:08,845 esp_1_5s_5m_CB -> 16,6 C | pin34= 1787 | Bat = 3,01 V
23:50:14,084 esp_1_5s_5m_CB -> 16,6 C | pin34= 1711 | Bat = 2,57 V
23:50:19,285 esp_1_5s_5m_CB -> 16,6 C | pin34= 1712 | Bat = 2,55 V
23:50:24,493 esp_1_5s_5m_CB -> 16,6 C | pin34= 1712 | Bat = 2,55 V
