21:32:59.459 esp_3_10s_5m -> 22.5 C | pin34= 1839 | Bat = 3.44 V
21:33:09.464 esp_3_10s_5m -> 22.5 C | pin34= 1839 | Bat = 3.43 V
21:33:19.961 esp_3_10s_5m -> 22.5 C | pin34= 1840 | Bat = 3.43 V
21:33:29.961 esp_3_10s_5m -> 22.5 C | pin34= 1834 | Bat = 3.43 V
21:33:40.462 esp_3_10s_5m -> 22.5 C | pin34= 1831 | Bat = 3.42 V
21:33:50.460 esp_3_10s_5m -> 22.5 C | pin34= 1837 | Bat = 3.41 V
21:34:00.960 esp_3_10s_5m -> 22.4 C | pin34= 1737 | Bat = 3.37 V
21:34:10.961 esp_3_10s_5m -> 22.5 C | pin34= 1837 | Bat = 3.41 V
21:34:21.460 esp_3_10s_5m -> 22.5 C | pin34= 1834 | Bat = 3.18 V
21:34:31.460 esp_3_10s_5m -> 22.5 C | pin34= 1835 | Bat = 3.42 V
21:34:41.960 esp_3_10s_5m -> 22.5 C | pin34= 1835 | Bat = 3.39 V
21:34:51.959 esp_3_10s_5m -> 22.5 C | pin34= 1838 | Bat = 3.23 V
21:35:02.458 esp_3_10s_5m -> 22.5 C | pin34= 1838 | Bat = 3.42 V
21:35:12.459 esp_3_10s_5m -> 22.5 C | pin34= 1837 | Bat = 3.42 V
21:35:22.461 esp_3_10s_5m -> 22.5 C | pin34= 1835 | Bat = 3.42 V
21:35:32.960 esp_3_10s_5m -> 22.5 C | pin34= 1835 | Bat = 3.42 V
21:35:42.960 esp_3_10s_5m -> 22.5 C | pin34= 1731 | Bat = 3.29 V
21:35:53.460 esp_3_10s_5m -> 22.5 C | pin34= 1834 | Bat = 3.38 V
21:36:03.460 esp_3_10s_5m -> 22.6 C | pin34= 1837 | Bat = 3.23 V
21:36:13.960 esp_3_10s_5m -> 22.7 C | pin34= 1839 | Bat = 3.38 V
21:36:23.960 esp_3_10s_5m -> 22.8 C | pin34= 1840 | Bat = 3.42 V
21:36:33.960 esp_3_10s_5m -> 22.9 C | pin34= 1834 | Bat = 3.42 V
21:36:44.460 esp_3_10s_5m -> 22.9 C | pin34= 1835 | Bat = 3.42 V
21:36:54.460 esp_3_10s_5m -> 23.0 C | pin34= 1835 | Bat = 3.42 V
21:37:05.000 esp_3_10s_5m -> 23.0 C | pin34= 1831 | Bat = 3.41 V
21:37:14.959 esp_3_10s_5m -> 23.1 C | pin34= 1831 | Bat = 3.37 V
21:37:25.465 esp_3_10s_5m -> 23.1 C | pin34= 1835 | Bat = 3.42 V
21:37:35.460 esp_3_10s_5m -> 23.1 C | pin34= 1824 | Bat = 3.38 V
21:37:45.960 esp_3_10s_5m -> 23.1 C | pin34= 1826 | Bat = 3.32 V
21:37:55.960 esp_3_10s_5m -> 23.1 C | pin34= 1827 | Bat = 3.39 V
21:38:06.460 esp_3_10s_5m -> 23.1 C | pin34= 1827 | Bat = 3.33 V
21:38:16.460 esp_3_10s_5m -> 23.1 C | pin34= 1820 | Bat = 3.17 V
21:38:26.465 esp_3_10s_5m -> 23.1 C | pin34= 1822 | Bat = 3.16 V
21:38:36.959 esp_3_10s_5m -> 23.1 C | pin34= 1823 | Bat = 3.37 V
21:38:46.960 esp_3_10s_5m -> 23.1 C | pin34= 1822 | Bat = 3.38 V
21:38:57.460 esp_3_10s_5m -> 23.1 C | pin34= 1827 | Bat = 3.38 V
21:39:07.460 esp_3_10s_5m -> 23.1 C | pin34= 1831 | Bat = 3.39 V
21:39:17.960 esp_3_10s_5m -> 23.0 C | pin34= 1816 | Bat = 3.34 V
21:39:27.960 esp_3_10s_5m -> 23.0 C | pin34= 1831 | Bat = 3.19 V
21:39:38.459 esp_3_10s_5m -> 23.0 C | pin34= 1830 | Bat = 3.34 V
